t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
4.433289,1.859517211,1.859667413,1.859818281,1.859846777,0.285897001,0.280206625,0.281472159,0.285897001,0.282847681,0.282847681
4.466622,1.859436916,1.859570074,1.859632392,1.859704564,0.285735347,0.280030323,0.281179477,0.285735347,0.282649542,0.282649542
4.499955,1.859302959,1.859395238,1.859496837,1.859566879,0.285596064,0.279849761,0.280905704,0.285596064,0.282498008,0.282498008
4.533288,1.859374998,1.859449966,1.859654896,1.859670209,0.285701525,0.279971467,0.280809564,0.285701525,0.282586692,0.282586692
4.566621,1.859271001,1.85934264,1.859472336,1.859592445,0.285457846,0.279738441,0.280476669,0.285457846,0.282391216,0.282391216
4.599954,1.859312547,1.859401629,1.859509754,1.85957833,0.285580884,0.279775991,0.280347506,0.285580884,0.282505998,0.282505998
4.633287,1.859148496,1.85920895,1.859369671,1.859381789,0.285414702,0.279721929,0.280058287,0.285414702,0.282376568,0.282376568
4.66662,1.858825721,1.858922394,1.859119467,1.859105619,0.285189399,0.279577053,0.27986068,0.285189399,0.282154194,0.282154194
4.699953,1.858828384,1.85888431,1.858965004,1.859108149,0.285194193,0.279555748,0.279889975,0.285194193,0.282176831,0.282176831
4.733286,1.858765001,1.858880182,1.859015338,1.858962607,0.285273289,0.279610875,0.279894768,0.285273289,0.282205593,0.282205593
4.766619,1.858632375,1.858821327,1.858849689,1.858876853,0.28527968,0.279636176,0.280009817,0.28527968,0.282253797,0.282253797
4.799952,1.858458071,1.858514664,1.858637702,1.858775787,0.28525731,0.279666003,0.279817537,0.28525731,0.282255661,0.282255661
4.833285,1.858061527,1.858194685,1.858310399,1.858340227,0.285002978,0.279420193,0.279714739,0.285002978,0.282034086,0.282034086
4.866618,1.858126375,1.858169252,1.858386033,1.858399748,0.285148919,0.279564536,0.280031122,0.285148919,0.282194674,0.282194674
4.899951,1.858264992,1.858359534,1.858540763,1.858606809,0.285600325,0.280042041,0.280464419,0.285600325,0.282683897,0.282683897
4.933284,1.858399748,1.858488298,1.858579911,1.858623054,0.285747331,0.280206625,0.280500638,0.285747331,0.282844219,0.282844219
4.966617,1.858243021,1.858294686,1.858387631,1.858464862,0.285698063,0.280130192,0.280650574,0.285698063,0.282794685,0.282794685
4.99995,1.857998277,1.857986825,1.858173113,1.858258201,0.285636011,0.280145905,0.280552836,0.285636011,0.282738226,0.282738226
5.033283,1.857859126,1.857934228,1.858143552,1.858150343,0.285685812,0.280214348,0.28056482,0.285685812,0.282798147,0.282798147
5.066616,1.857824905,1.857815184,1.858000141,1.858056866,0.285699661,0.280206891,0.280635127,0.285699661,0.282819985,0.282819985
5.099949,1.857685888,1.857745676,1.857895212,1.857916784,0.28581391,0.280333391,0.280845251,0.28581391,0.282927044,0.282927044
5.133282,1.857545672,1.857623836,1.857785224,1.857829965,0.285774762,0.280328597,0.280895584,0.285774762,0.282955806,0.282955806
5.166615,1.857396003,1.857441143,1.857695076,1.857762054,0.285854124,0.280352566,0.280821282,0.285854124,0.282961665,0.282961665
5.199948,1.857422235,1.857434752,1.85756032,1.857695209,0.285712976,0.280257225,0.280672944,0.285712976,0.282849546,0.282849546
5.233281,1.857238743,1.857247265,1.857410783,1.857472702,0.285535344,0.280047101,0.280490784,0.285535344,0.282677772,0.282677772
5.266614,1.856956581,1.857070165,1.857211313,1.857268304,0.285463971,0.280067075,0.28063273,0.285463971,0.282637025,0.282637025
5.299947,1.857051789,1.857133548,1.857235814,1.857318638,0.285551056,0.280138448,0.280689189,0.285551056,0.282722513,0.282722513
5.33328,1.857024092,1.857099193,1.857170833,1.857235814,0.285526822,0.280065211,0.280672411,0.285526822,0.282732367,0.282732367
5.366613,1.85681823,1.856906514,1.857054186,1.857060578,0.285443465,0.280016741,0.280576005,0.285443465,0.282630101,0.282630101
5.399946,1.856867498,1.856999591,1.857138741,1.857322899,0.285458911,0.280130991,0.280735528,0.285458911,0.282682033,0.282682033
5.433279,1.857187877,1.857197198,1.857341275,1.857497602,0.285620565,0.280225267,0.280940059,0.285620565,0.282863394,0.282863394
5.466612,1.856971495,1.857042734,1.857149128,1.857238876,0.28552549,0.280142176,0.280589055,0.28552549,0.282757134,0.282757134
5.499945,1.8569928,1.857078687,1.857217438,1.857227824,0.285618967,0.280253763,0.280741654,0.285618967,0.282884966,0.282884966
5.533278,1.857265108,1.857263777,1.857392674,1.857478161,0.285760647,0.280474539,0.280745382,0.285760647,0.283055674,0.283055674
5.566611,1.857207051,1.857268304,1.857367107,1.857490545,0.285788877,0.280497175,0.280467348,0.285788877,0.283091893,0.283091893
5.599944,1.857178289,1.857218903,1.857360716,1.857480026,0.285731885,0.280416748,0.280252165,0.285731885,0.283001346,0.283001346
5.633277,1.857332886,1.8573727,1.857512516,1.857635021,0.285985152,0.280715288,0.28054165,0.285985152,0.283239965,0.283239965
5.66661,1.857442608,1.857432488,1.857577764,1.857627565,0.286014713,0.280819152,0.280321141,0.286014713,0.283328116,0.283328116
5.699943,1.857505059,1.857496803,1.857662718,1.857708525,0.28605972,0.280885997,0.280460957,0.28605972,0.283371792,0.283371792
5.733276,1.857888155,1.857901604,1.857966319,1.858094683,0.286492484,0.281293461,0.281166428,0.286492484,0.283826127,0.283826127
5.766609,1.858185497,1.858262862,1.858311198,1.858462732,0.286807003,0.28163834,0.281409042,0.286807003,0.284137717,0.284137717
5.799942,1.858368456,1.858401479,1.858537567,1.858665399,0.286949749,0.281741671,0.28154726,0.286949749,0.284259157,0.284259157
5.833275,1.858562734,1.858579378,1.858656077,1.858741698,0.287137768,0.281955789,0.281687875,0.287137768,0.284446377,0.284446377
5.866608,1.85880628,1.858878451,1.859044366,1.859066737,0.287378517,0.282192544,0.281953392,0.287378517,0.284702041,0.284702041
5.899941,1.859217072,1.859208817,1.859384985,1.859533056,0.287828325,0.282652738,0.282467382,0.287828325,0.285202715,0.285202715
5.933274,1.859597505,1.859673938,1.859753033,1.859749039,0.288110887,0.282971785,0.282935033,0.288110887,0.28545172,0.28545172
5.966607,1.859948776,1.859961293,1.860059031,1.860082067,0.2882784,0.28314276,0.283110269,0.2882784,0.285615238,0.285615238
5.99994,1.860241324,1.860232136,1.860329874,1.860425881,0.288582533,0.283425321,0.283403483,0.288582533,0.285964645,0.285964645
6.033273,1.860731479,1.860671691,1.86088754,1.860971696,0.289050716,0.283839709,0.283857286,0.289050716,0.286353999,0.286353999
6.066606,1.861161579,1.861234284,1.861316842,1.861343207,0.289313837,0.284163816,0.28411215,0.289313837,0.286637892,0.286637892
6.099939,1.861379692,1.861348533,1.861546539,1.861643212,0.289560179,0.284422142,0.284428001,0.289560179,0.286903676,0.286903676
6.133272,1.861584623,1.861570774,1.861668645,1.861821111,0.289531417,0.284397908,0.284480998,0.289531417,0.286880506,0.286880506
6.166605,1.861838821,1.861842283,1.861969716,1.861979037,0.289566837,0.28441655,0.284741189,0.289566837,0.286951613,0.286951613
6.199938,1.862299149,1.862327378,1.862444424,1.8624628,0.289772966,0.28459072,0.284864493,0.289772966,0.287105277,0.287105277
6.233271,1.862559206,1.862498753,1.862672258,1.862750421,0.289830756,0.28464425,0.284868754,0.289830756,0.287175851,0.287175851
6.266604,1.862839904,1.862851089,1.862954952,1.863009547,0.290003063,0.284859966,0.285160903,0.290003063,0.287334575,0.287334575
6.299937,1.863289312,1.86326774,1.863326729,1.863328194,0.29017963,0.285040795,0.285367298,0.29017963,0.287541237,0.287541237
6.33327,1.863294771,1.863406624,1.863503563,1.863545774,0.290131161,0.284976612,0.285374489,0.290131161,0.287533513,0.287533513
6.366603,1.86352114,1.863560022,1.863735791,1.863827404,0.290115448,0.284986732,0.2853151,0.290115448,0.287482381,0.287482381
6.399936,1.864023679,1.864040989,1.864158301,1.864248316,0.290198272,0.285016027,0.285443198,0.290198272,0.287542568,0.287542568
6.433269,1.864100378,1.864160166,1.864261233,1.864419558,0.290158858,0.284980341,0.285417898,0.290158858,0.287545231,0.287545231
6.466602,1.864380542,1.864371487,1.864472688,1.864523288,0.290343148,0.285177947,0.285581949,0.290343148,0.287718337,0.287718337
6.499935,1.864435137,1.864517562,1.864672025,1.864712372,0.290301337,0.285146788,0.285313502,0.290301337,0.287694635,0.287694635
6.533268,1.865319306,1.865377363,1.865425833,1.865468577,0.290963132,0.285859184,0.285928693,0.290963132,0.288385192,0.288385192
6.566601,1.872962579,1.873021967,1.873127695,1.873249934,0.298505471,0.293338938,0.293245994,0.298505471,0.295912617,0.295912617
6.599934,1.882725994,1.882776461,1.882919606,1.882951297,0.308069681,0.302877316,0.302620854,0.308069681,0.305435016,0.305435016
6.633267,1.888243797,1.888308778,1.888400391,1.888533815,0.31340639,0.308211361,0.307837454,0.31340639,0.310818596,0.310818596
6.6666,1.894262808,1.894340838,1.894452691,1.894520602,0.319303694,0.314132367,0.313724904,0.319224598,0.316677817,0.316677817
6.699933,1.901857344,1.901894362,1.902043099,1.902041102,0.326636708,0.32148642,0.321100262,0.326636708,0.324013494,0.324013494
6.733266,1.910702501,1.910729399,1.910917152,1.910964689,0.335350837,0.330197887,0.329829572,0.335350837,0.332776626,0.332776626
6.766599,1.921010399,1.921069388,1.921136899,1.921256209,0.345269781,0.340071556,0.339694187,0.345269781,0.342668671,0.342668671
6.799932,1.932105794,1.932103663,1.932242148,1.932373442,0.355790066,0.350574531,0.350126321,0.355790066,0.353129834,0.353129834
6.833265,1.94369414,1.943680425,1.943837285,1.943920376,0.366989191,0.361767265,0.361445821,0.366989191,0.364356922,0.364356922
6.866598,1.95582151,1.955912723,1.95606985,1.956191157,0.378625341,0.373362668,0.372931236,0.378625341,0.375987746,0.375987746
6.899931,1.968202812,1.968194423,1.96842745,1.968478449,0.390479071,0.385221991,0.384804407,0.390479071,0.387864113,0.387864113
6.933264,1.980514473,1.980563874,1.980597297,1.980686912,0.401839051,0.396539626,0.396289289,0.401839051,0.399237408,0.399237408
6.966597,1.992593506,1.992685918,1.992743975,1.992832658,0.413030186,0.407706261,0.407633823,0.413030186,0.41042375,0.41042375
6.99993,2.00461861,2.004664949,2.004815152,2.004788254,0.423904139,0.418551718,0.418475285,0.423904139,0.421270273,0.421270273
7.033263,2.016318809,2.016388185,2.016425469,2.016507761,0.434449991,0.42901874,0.429039513,0.434449991,0.431791623,0.431791623
7.066596,2.022874313,2.02278097,2.022958469,2.022904407,0.439709201,0.434150385,0.434251585,0.439709201,0.436972803,0.436972803
7.099929,2.02429977,2.024280329,2.02440896,2.024519881,0.439799749,0.434206045,0.43414639,0.439799749,0.437054829,0.437054829
7.133262,2.028527139,2.028519416,2.028686796,2.028699179,0.442608851,0.436842575,0.43721302,0.442608851,0.439745953,0.439745953
7.166595,2.032591389,2.032692589,2.032674214,2.032793523,0.444937519,0.439095076,0.439520649,0.444937519,0.442012303,0.442012303
7.199928,2.034949618,2.034993561,2.035059873,2.035132844,0.445591858,0.439622382,0.440329984,0.445591858,0.442556919,0.442556919
